,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.9511111111111111,,,,,,,,,
after_task_01,0.0,0.9288888888888889,,,,,,,,
after_task_02,0.0,0.0,0.9577777777777777,,,,,,,
after_task_03,0.0,0.0,0.0,0.9266666666666666,,,,,,
after_task_04,0.0,0.0,0.0,0.0,0.9355555555555556,,,,,
after_task_05,0.0,0.0,0.0,0.0,0.0,0.9466666666666667,,,,
after_task_06,0.0,0.0,0.0,0.0,0.0,0.0,0.9088888888888889,,,
after_task_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8911111111111111,,
after_task_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,
after_task_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888
